MES=0.43; ; ; ; V/m; 3.59V; $GNRMC,120444.117,V,,,,,0.00,0.00,270324,,,N*53;;-15.00;42.00;14.00;25.07;63.87 -->27/03/24 08:04:43*;
MES=0.43; ; ; ; V/m; 3.59V; $GNRMC,120444.117,V,,,,,0.00,0.00,270324,,,N*53;;23.00;-18.00;-72.00;25.07;63.87 -->27/03/24 08:04:43*;
MES=0.34; ; ; ; V/m; 3.59V; $GNRMC,120444.117,V,,,,,0.00,0.00,270324,,,N*53;;-14.00;8.00;82.00;25.07;63.87 -->27/03/24 08:04:43*;
MES=0.32; ; ; ; V/m; 3.59V; $GNRMC,120445.117,V,,,,,0.00,0.00,270324,,,N*52;;2.00;-45.00;-19.00;25.07;63.87 -->27/03/24 08:04:44*;
MES=0.11; ; ; ; V/m; 3.58V; $GNRMC,120445.117,V,,,,,0.00,0.00,270324,,,N*52;;14.00;22.00;-43.00;25.07;63.87 -->27/03/24 08:04:44*;
MES=0.00; ; ; ; V/m; 3.58V; $GNRMC,120445.117,V,,,,,0.00,0.00,270324,,,N*52;;-58.00;-41.00;14.00;25.07;63.87 -->27/03/24 08:04:44*;
MES=0.00; ; ; ; V/m; 3.58V; $GNRMC,120445.117,V,,,,,0.00,0.00,270324,,,N*52;;76.00;51.00;7.00;25.07;63.87 -->27/03/24 08:04:45*;
MES=0.00; ; ; ; V/m; 3.58V; $GNRMC,120446.117,V,,,,,0.00,0.00,270324,,,N*51;;-67.00;-16.00;31.00;25.07;63.87 -->27/03/24 08:04:45*;
MES=0.00; ; ; ; V/m; 3.58V; $GNRMC,120446.117,V,,,,,0.00,0.00,270324,,,N*51;;48.00;56.00;7.00;25.07;63.87 -->27/03/24 08:04:45*;
MES=0.20; ; ; ; V/m; 3.58V; $GNRMC,120446.117,V,,,,,0.00,0.00,270324,,,N*51;;-47.00;-87.00;-45.00;25.07;63.87 -->27/03/24 08:04:45*;
MES=0.31; ; ; ; V/m; 3.58V; $GNRMC,120446.117,V,,,,,0.00,0.00,270324,,,N*51;;32.00;36.00;-46.00;25.07;63.87 -->27/03/24 08:04:46*;
MES=0.31; ; ; ; V/m; 3.58V; $GNRMC,120447.117,V,,,,,0.00,0.00,270324,,,N*50;;-73.00;46.00;45.00;25.07;63.87 -->27/03/24 08:04:46*;
MES=0.39; ; ; ; V/m; 3.58V; $GNRMC,120447.117,V,,,,,0.00,0.00,270324,,,N*50;;4.00;-36.00;0.00;25.07;63.87 -->27/03/24 08:04:46*;
MES=0.48; ; ; ; V/m; 3.58V; $GNRMC,120447.117,V,,,,,0.00,0.00,270324,,,N*50;;118.00;12.00;28.00;25.07;63.87 -->27/03/24 08:04:46*;
MES=0.41; ; ; ; V/m; 3.58V; $GNRMC,120448.083,V,,,,,0.00,0.00,270324,,,N*53;;-53.00;22.00;-14.00;25.07;63.87 -->27/03/24 08:04:47*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120448.083,V,,,,,0.00,0.00,270324,,,N*53;;50.00;-5.00;86.00;25.07;63.87 -->27/03/24 08:04:47*;
MES=0.31; ; ; ; V/m; 3.58V; $GNRMC,120448.302,V,,,,,0.00,0.00,270324,,,N*59;;-97.00;-47.00;-95.00;25.07;63.87 -->27/03/24 08:04:47*;
MES=0.19; ; ; ; V/m; 3.58V; $GNRMC,120448.302,V,,,,,0.00,0.00,270324,,,N*59;;72.00;-36.00;-95.00;25.07;63.87 -->27/03/24 08:04:47*;
MES=0.19; ; ; ; V/m; 3.58V; $GNRMC,120448.302,V,,,,,0.00,0.00,270324,,,N*59;;-37.00;41.00;42.00;25.07;63.87 -->27/03/24 08:04:48*;
MES=0.21; ; ; ; V/m; 3.58V; $GNRMC,120449.302,V,,,,,0.00,0.00,270324,,,N*58;;34.00;79.00;64.00;25.07;63.87 -->27/03/24 08:04:48*;
MES=0.21; ; ; ; V/m; 3.58V; $GNRMC,120449.302,V,,,,,0.00,0.00,270324,,,N*58;;-38.00;-64.00;3.00;25.07;63.87 -->27/03/24 08:04:48*;
MES=0.25; ; ; ; V/m; 3.58V; $GNRMC,120449.302,V,,,,,0.00,0.00,270324,,,N*58;;42.00;-38.00;15.00;25.07;63.87 -->27/03/24 08:04:49*;
MES=0.29; ; ; ; V/m; 3.58V; $GNRMC,120450.302,V,,,,,0.00,0.00,270324,,,N*50;;0.00;38.00;-74.00;25.07;63.87 -->27/03/24 08:04:49*;
MES=0.32; ; ; ; V/m; 3.58V; $GNRMC,120450.302,V,,,,,0.00,0.00,270324,,,N*50;;-50.00;2.00;1.00;25.07;63.87 -->27/03/24 08:04:49*;
MES=0.32; ; ; ; V/m; 3.58V; $GNRMC,120450.302,V,,,,,0.00,0.00,270324,,,N*50;;-5.00;-10.00;24.00;25.07;63.87 -->27/03/24 08:04:49*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120450.302,V,,,,,0.00,0.00,270324,,,N*50;;-7.00;-69.00;-122.00;25.07;63.87 -->27/03/24 08:04:50*;
MES=0.34; ; ; ; V/m; 3.58V; $GNRMC,120451.302,V,,,,,0.00,0.00,270324,,,N*51;;20.00;107.00;195.00;25.07;63.87 -->27/03/24 08:04:50*;
MES=0.34; ; ; ; V/m; 3.58V; $GNRMC,120451.302,V,,,,,0.00,0.00,270324,,,N*51;;-1.00;-103.00;-112.00;25.07;63.87 -->27/03/24 08:04:50*;
MES=0.37; ; ; ; V/m; 3.58V; $GNRMC,120451.302,V,,,,,0.00,0.00,270324,,,N*51;;21.00;159.00;208.00;25.07;63.87 -->27/03/24 08:04:50*;
MES=0.37; ; ; ; V/m; 3.58V; $GNRMC,120451.302,V,,,,,0.00,0.00,270324,,,N*51;;-37.00;-27.00;29.00;25.07;63.87 -->27/03/24 08:04:51*;
MES=0.33; ; ; ; V/m; 3.58V; $GNRMC,120452.302,V,,,,,0.00,0.00,270324,,,N*52;;53.00;-147.00;-183.00;25.07;63.87 -->27/03/24 08:04:51*;
MES=0.33; ; ; ; V/m; 3.58V; $GNRMC,120452.302,V,,,,,0.00,0.00,270324,,,N*52;;10.00;76.00;64.00;25.07;63.87 -->27/03/24 08:04:51*;
MES=0.39; ; ; ; V/m; 3.58V; $GNRMC,120452.302,V,,,,,0.00,0.00,270324,,,N*52;;-76.00;-31.00;-18.00;25.07;63.87 -->27/03/24 08:04:51*;
MES=0.34; ; ; ; V/m; 3.58V; $GNRMC,120452.302,V,,,,,0.00,0.00,270324,,,N*52;;62.00;58.00;-53.00;25.07;63.87 -->27/03/24 08:04:52*;
MES=0.34; ; ; ; V/m; 3.58V; $GNRMC,120453.302,V,,,,,0.00,0.00,270324,,,N*53;;-14.00;-27.00;-67.00;25.07;63.87 -->27/03/24 08:04:52*;
MES=0.32; ; ; ; V/m; 3.58V; $GNRMC,120453.302,V,,,,,0.00,0.00,270324,,,N*53;;1.00;41.00;85.00;25.07;63.87 -->27/03/24 08:04:52*;
MES=0.32; ; ; ; V/m; 3.58V; $GNRMC,120453.302,V,,,,,0.00,0.00,270324,,,N*53;;-10.00;-74.00;-39.00;25.07;63.87 -->27/03/24 08:04:53*;
MES=0.33; ; ; ; V/m; 3.58V; $GNRMC,120454.089,V,,,,,0.00,0.00,270324,,,N*54;;5.00;68.00;22.00;25.07;63.87 -->27/03/24 08:04:53*;
MES=0.34; ; ; ; V/m; 3.58V; $GNRMC,120454.089,V,,,,,0.00,0.00,270324,,,N*54;;-7.00;-68.00;9.00;25.07;63.87 -->27/03/24 08:04:53*;
MES=0.33; ; ; ; V/m; 3.58V; $GNRMC,120454.089,V,,,,,0.00,0.00,270324,,,N*54;;11.00;18.00;-38.00;25.07;63.87 -->27/03/24 08:04:53*;
MES=0.33; ; ; ; V/m; 3.58V; $GNRMC,120455.089,V,,,,,0.00,0.00,270324,,,N*55;;2.00;14.00;7.00;25.07;63.87 -->27/03/24 08:04:54*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120455.089,V,,,,,0.00,0.00,270324,,,N*55;;-17.00;30.00;3.00;25.07;63.87 -->27/03/24 08:04:54*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120455.089,V,,,,,0.00,0.00,270324,,,N*55;;28.00;-35.00;-54.00;25.07;63.87 -->27/03/24 08:04:54*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120455.089,V,,,,,0.00,0.00,270324,,,N*55;;-9.00;16.00;100.00;25.07;63.87 -->27/03/24 08:04:54*;
MES=0.36; ; ; ; V/m; 3.58V; $GNRMC,120456.096,V,,,,,0.09,0.00,270324,,,N*51;;7.00;-21.00;0.00;25.07;63.87 -->27/03/24 08:04:55*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120456.096,V,,,,,0.09,0.00,270324,,,N*51;;-2.00;-7.00;-73.00;25.07;63.87 -->27/03/24 08:04:55*;
MES=0.35; ; ; ; V/m; 3.58V; $GNRMC,120456.096,V,,,,,0.09,0.00,270324,,,N*51;;-8.00;30.00;39.00;25.07;63.87 -->27/03/24 08:04:55*;
MES=0.36; ; ; ; V/m; 3.58V; $GNRMC,120456.096,V,,,,,0.09,0.00,270324,,,N*51;;18.00;-13.00;-25.00;25.07;63.87 -->27/03/24 08:04:56*;
MES=0.37; ; ; ; V/m; 3.58V; $GNRMC,120456.096,V,,,,,0.09,0.00,270324,,,N*51;;21.00;67.00;62.00;25.07;63.87 -->27/03/24 08:04:56*;
MES=0.40; ; ; ; V/m; 3.58V; $GNRMC,120457.096,A,2127.3890,S,05422.7860,W,14.59,14.76,270324,,,A*74;;-34.00;-67.00;-76.00;25.07;63.87 -->27/03/24 08:04:56*;
MES=0.38; ; ; ; V/m; 3.58V; $GNRMC,120457.096,A,2127.3890,S,05422.7860,W,14.59,14.76,270324,,,A*74;;3.00;88.00;-26.00;25.07;63.87 -->27/03/24 08:04:56*;
MES=0.37; ; ; ; V/m; 3.58V; $GNRMC,120457.096,A,2127.3890,S,05422.7860,W,14.59,14.76,270324,,,A*74;;45.00;-35.00;76.00;25.07;63.87 -->27/03/24 08:04:57*;
MES=0.37; ; ; ; V/m; 3.58V; $GNRMC,120457.096,A,2127.3890,S,05422.7860,W,14.59,14.76,270324,,,A*74;;-34.00;16.00;120.00;25.07;63.87 -->27/03/24 08:04:57*;
MES=0.37; ; ; ; V/m; 3.58V; $GNRMC,120457.096,A,2127.3890,S,05422.7860,W,14.59,14.76,270324,,,A*74;;-33.00;-64.00;-145.00;25.07;63.87 -->27/03/24 08:04:57*;
MES=0.34; ; ; ; V/m; 3.58V; $GNRMC,120457.096,A,2127.3890,S,05422.7860,W,14.59,14.76,270324,,,A*74;;-14.00;17.00;10.00;25.07;63.87 -->27/03/24 08:04:57*;
