#BM MDM=OK*
#BM MSK=------------*
#BM TSS=OFF 16:00 ( 2q)  each 24h*
#BM TSM=NET 14:30 ( 1q)  each 04h*
#BM MES=1.20; ; V/m*
#BM IDN=490ZY30412;Nsts,AMB-8059-00; 2.29 11/22;490ZY30412;07.06.23;NET 14:30 ( 1q)  each 04h;OFF 16:00 ( 2q)  each 24h;--L---------;*
#BM MES=0.89; ; V/m*
#BM MDM=OK*
#BM SWI=OK*
#BM MDM=0*
#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
Instrument time updated 13.17.39 - 28/02/24#BM PRB=EP-1B-08:07.06.23; V/m:100.00:200.00:0.18:S*
#BM EEM=OK*
Erasing Mobile Flash
#BM ERM=OK   40*
#BM *;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171851.113,A,2027.3182,S,05436.5422,W,0.26,186.16,280224,,,A*7F;;1.00;-2.00;1.00;27.62;36.78 -->28/02/24 13:18:47*;
MES=1.14; ; ; ; V/m; 3.61V; $GNRMC,171851.113,A,2027.3182,S,05436.5422,W,0.26,186.16,280224,,,A*7F;;0.00;2.00;0.00;27.62;36.78 -->28/02/24 13:18:47*;
MES=1.16; ; ; ; V/m; 3.61V; $GNRMC,171851.113,A,2027.3182,S,05436.5422,W,0.26,186.16,280224,,,A*7F;;-1.00;0.00;3.00;27.62;36.78 -->28/02/24 13:18:47*;
MES=1.16; ; ; ; V/m; 3.61V; $GNRMC,171852.115,A,2027.3178,S,05436.5420,W,0.29,186.16,280224,,,A*72;;-1.00;0.00;1.00;27.62;36.78 -->28/02/24 13:18:47*;
MES=1.19; ; ; ; V/m; 3.61V; $GNRMC,171852.115,A,2027.3178,S,05436.5420,W,0.29,186.16,280224,,,A*72;;2.00;-2.00;-3.00;27.62;36.78 -->28/02/24 13:18:48*;
MES=1.18; ; ; ; V/m; 3.61V; $GNRMC,171852.115,A,2027.3178,S,05436.5420,W,0.29,186.16,280224,,,A*72;;-2.00;2.00;1.00;27.62;36.78 -->28/02/24 13:18:48*;
MES=1.14; ; ; ; V/m; 3.61V; $GNRMC,171852.115,A,2027.3178,S,05436.5420,W,0.29,186.16,280224,,,A*72;;1.00;2.00;-1.00;27.62;36.78 -->28/02/24 13:18:48*;
MES=1.05; ; ; ; V/m; 3.61V; $GNRMC,171853.116,A,2027.3175,S,05436.5418,W,0.23,186.16,280224,,,A*7C;;-1.00;-1.00;-1.00;27.62;36.78 -->28/02/24 13:18:49*;
MES=1.05; ; ; ; V/m; 3.61V; $GNRMC,171853.116,A,2027.3175,S,05436.5418,W,0.23,186.16,280224,,,A*7C;;1.00;-2.00;-1.00;27.62;36.78 -->28/02/24 13:18:49*;
MES=1.02; ; ; ; V/m; 3.61V; $GNRMC,171853.116,A,2027.3175,S,05436.5418,W,0.23,186.16,280224,,,A*7C;;1.00;1.00;-2.00;27.62;36.78 -->28/02/24 13:18:49*;
MES=1.02; ; ; ; V/m; 3.61V; $GNRMC,171854.118,A,2027.3170,S,05436.5415,W,0.14,186.16,280224,,,A*79;;-1.00;0.00;0.00;27.62;36.78 -->28/02/24 13:18:49*;
MES=1.00; ; ; ; V/m; 3.61V; $GNRMC,171854.118,A,2027.3170,S,05436.5415,W,0.14,186.16,280224,,,A*79;;3.00;1.00;3.00;27.62;36.78 -->28/02/24 13:18:50*;
MES=0.95; ; ; ; V/m; 3.61V; $GNRMC,171854.118,A,2027.3170,S,05436.5415,W,0.14,186.16,280224,,,A*79;;-1.00;0.00;-2.00;27.62;36.78 -->28/02/24 13:18:50*;
MES=0.95; ; ; ; V/m; 3.61V; $GNRMC,171854.118,A,2027.3170,S,05436.5415,W,0.14,186.16,280224,,,A*79;;-2.00;-1.00;0.00;27.62;36.78 -->28/02/24 13:18:50*;
MES=1.10; ; ; ; V/m; 3.61V; $GNRMC,171855.119,A,2027.3165,S,05436.5413,W,0.01,186.16,280224,,,A*7F;;0.00;0.00;3.00;27.62;36.78 -->28/02/24 13:18:50*;
MES=1.07; ; ; ; V/m; 3.61V; $GNRMC,171855.119,A,2027.3165,S,05436.5413,W,0.01,186.16,280224,,,A*7F;;0.00;-1.00;-1.00;27.62;36.78 -->28/02/24 13:18:51*;
MES=1.04; ; ; ; V/m; 3.61V; $GNRMC,171855.119,A,2027.3165,S,05436.5413,W,0.01,186.16,280224,,,A*7F;;0.00;-1.00;0.00;27.62;36.78 -->28/02/24 13:18:51*;
MES=1.04; ; ; ; V/m; 3.61V; $GNRMC,171855.119,A,2027.3165,S,05436.5413,W,0.01,186.16,280224,,,A*7F;;0.00;3.00;1.00;27.62;36.78 -->28/02/24 13:18:51*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;1.00;-1.00;-1.00;27.62;36.78 -->28/02/24 13:18:51*;
MES=1.21; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;-1.00;0.00;-2.00;27.62;36.78 -->28/02/24 13:18:52*;
MES=1.16; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;-1.00;1.00;3.00;27.62;36.78 -->28/02/24 13:18:52*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;0.00;0.00;-1.00;27.62;36.78 -->28/02/24 13:18:52*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;0.00;2.00;-1.00;27.62;36.78 -->28/02/24 13:18:53*;
MES=0.99; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;0.00;-2.00;-1.00;27.62;36.78 -->28/02/24 13:18:53*;
MES=0.99; ; ; ; V/m; 3.61V; $GNRMC,171856.140,A,2027.3131,S,05436.5366,W,0.23,186.16,280224,,,A*74;;0.00;0.00;3.00;27.62;36.78 -->28/02/24 13:18:53*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171858.000,A,2027.3136,S,05436.5365,W,0.18,186.16,280224,,,A*73;;1.00;-1.00;-2.00;27.62;36.78 -->28/02/24 13:18:53*;
MES=1.11; ; ; ; V/m; 3.61V; $GNRMC,171858.000,A,2027.3136,S,05436.5365,W,0.18,186.16,280224,,,A*73;;0.00;0.00;2.00;27.62;36.78 -->28/02/24 13:18:54*;
MES=1.21; ; ; ; V/m; 3.61V; $GNRMC,171858.000,A,2027.3136,S,05436.5365,W,0.18,186.16,280224,,,A*73;;-1.00;-1.00;-1.00;27.62;36.78 -->28/02/24 13:18:54*;
MES=1.19; ; ; ; V/m; 3.61V; $GNRMC,171859.000,A,2027.3146,S,05436.5367,W,0.14,186.16,280224,,,A*7B;;-1.00;0.00;0.00;27.62;36.78 -->28/02/24 13:18:54*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171859.000,A,2027.3146,S,05436.5367,W,0.14,186.16,280224,,,A*7B;;4.00;1.00;-1.00;27.62;36.78 -->28/02/24 13:18:54*;
MES=1.02; ; ; ; V/m; 3.61V; $GNRMC,171859.000,A,2027.3146,S,05436.5367,W,0.14,186.16,280224,,,A*7B;;-3.00;-1.00;-1.00;27.62;36.78 -->28/02/24 13:18:55*;
MES=1.02; ; ; ; V/m; 3.61V; $GNRMC,171859.000,A,2027.3146,S,05436.5367,W,0.14,186.16,280224,,,A*7B;;0.00;-1.00;1.00;27.62;36.78 -->28/02/24 13:18:55*;
MES=1.14; ; ; ; V/m; 3.61V; $GNRMC,171900.000,A,2027.3149,S,05436.5366,W,0.01,186.16,280224,,,A*7C;;0.00;1.00;-2.00;27.62;36.78 -->28/02/24 13:18:55*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171900.000,A,2027.3149,S,05436.5366,W,0.01,186.16,280224,,,A*7C;;-1.00;1.00;2.00;27.62;36.78 -->28/02/24 13:18:56*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171900.000,A,2027.3149,S,05436.5366,W,0.01,186.16,280224,,,A*7C;;2.00;-1.00;0.00;27.62;36.78 -->28/02/24 13:18:56*;
MES=1.21; ; ; ; V/m; 3.61V; $GNRMC,171900.000,A,2027.3149,S,05436.5366,W,0.01,186.16,280224,,,A*7C;;-1.00;0.00;-3.00;27.62;36.78 -->28/02/24 13:18:56*;
MES=1.24; ; ; ; V/m; 3.61V; $GNRMC,171901.000,A,2027.3150,S,05436.5366,W,0.06,186.16,280224,,,A*72;;2.00;3.00;3.00;27.62;36.78 -->28/02/24 13:18:56*;
MES=1.22; ; ; ; V/m; 3.61V; $GNRMC,171901.000,A,2027.3150,S,05436.5366,W,0.06,186.16,280224,,,A*72;;0.00;-4.00;2.00;27.62;36.78 -->28/02/24 13:18:57*;
MES=1.16; ; ; ; V/m; 3.61V; $GNRMC,171901.000,A,2027.3150,S,05436.5366,W,0.06,186.16,280224,,,A*72;;-1.00;1.00;-2.00;27.54;36.57 -->28/02/24 17:19:01*;
MES=1.14; ; ; ; V/m; 3.61V; $GNRMC,171902.000,A,2027.3150,S,05436.5366,W,0.15,186.16,280224,,,A*73;;1.00;2.00;0.00;27.54;36.57 -->28/02/24 17:19:01*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171902.000,A,2027.3150,S,05436.5366,W,0.15,186.16,280224,,,A*73;;0.00;-1.00;0.00;27.54;36.57 -->28/02/24 17:19:01*;
MES=1.07; ; ; ; V/m; 3.61V; $GNRMC,171902.000,A,2027.3150,S,05436.5366,W,0.15,186.16,280224,,,A*73;;-1.00;1.00;-1.00;27.54;36.57 -->28/02/24 17:19:02*;
MES=1.04; ; ; ; V/m; 3.61V; $GNRMC,171902.000,A,2027.3150,S,05436.5366,W,0.15,186.16,280224,,,A*73;;-1.00;-2.00;2.00;27.54;36.57 -->28/02/24 17:19:02*;
MES=1.04; ; ; ; V/m; 3.61V; $GNRMC,171903.000,A,2027.3149,S,05436.5366,W,0.11,186.16,280224,,,A*7E;;1.00;1.00;-2.00;27.54;36.57 -->28/02/24 17:19:02*;
MES=1.09; ; ; ; V/m; 3.61V; $GNRMC,171903.000,A,2027.3149,S,05436.5366,W,0.11,186.16,280224,,,A*7E;;-1.00;0.00;1.00;27.54;36.57 -->28/02/24 17:19:02*;
MES=1.07; ; ; ; V/m; 3.61V; $GNRMC,171903.000,A,2027.3149,S,05436.5366,W,0.11,186.16,280224,,,A*7E;;1.00;-2.00;0.00;27.54;36.57 -->28/02/24 17:19:03*;
MES=1.07; ; ; ; V/m; 3.61V; $GNRMC,171903.000,A,2027.3149,S,05436.5366,W,0.11,186.16,280224,,,A*7E;;0.00;0.00;-2.00;27.54;36.57 -->28/02/24 17:19:03*;
MES=1.14; ; ; ; V/m; 3.61V; $GNRMC,171904.000,A,2027.3147,S,05436.5365,W,0.14,186.16,280224,,,A*71;;1.00;1.00;0.00;27.54;36.57 -->28/02/24 17:19:03*;
MES=1.23; ; ; ; V/m; 3.61V; $GNRMC,171904.000,A,2027.3147,S,05436.5365,W,0.14,186.16,280224,,,A*71;;-1.00;0.00;1.00;27.54;36.57 -->28/02/24 17:19:03*;
MES=1.18; ; ; ; V/m; 3.61V; $GNRMC,171904.000,A,2027.3147,S,05436.5365,W,0.14,186.16,280224,,,A*71;;0.00;1.00;1.00;27.54;36.57 -->28/02/24 17:19:04*;
MES=1.17; ; ; ; V/m; 3.61V; $GNRMC,171905.000,A,2027.3142,S,05436.5364,W,0.15,186.16,280224,,,A*75;;-1.00;-1.00;0.00;27.54;36.57 -->28/02/24 17:19:04*;
MES=1.16; ; ; ; V/m; 3.61V; $GNRMC,171905.000,A,2027.3142,S,05436.5364,W,0.15,186.16,280224,,,A*75;;3.00;-1.00;-2.00;27.54;36.57 -->28/02/24 17:19:04*;
MES=1.07; ; ; ; V/m; 3.61V; $GNRMC,171905.000,A,2027.3142,S,05436.5364,W,0.15,186.16,280224,,,A*75;;-2.00;1.00;3.00;27.54;36.57 -->28/02/24 17:19:05*;
MES=0.99; ; ; ; V/m; 3.61V; $GNRMC,171905.000,A,2027.3142,S,05436.5364,W,0.15,186.16,280224,,,A*75;;2.00;1.00;-1.00;27.54;36.57 -->28/02/24 17:19:05*;
MES=0.92; ; ; ; V/m; 3.61V; $GNRMC,171906.000,A,2027.3137,S,05436.5363,W,0.14,186.16,280224,,,A*72;;-2.00;0.00;0.00;27.54;36.57 -->28/02/24 17:19:05*;
MES=0.87; ; ; ; V/m; 3.61V; $GNRMC,171906.000,A,2027.3137,S,05436.5363,W,0.14,186.16,280224,,,A*72;;0.00;-1.00;0.00;27.54;36.57 -->28/02/24 17:19:05*;
MES=0.87; ; ; ; V/m; 3.61V; $GNRMC,171906.000,A,2027.3137,S,05436.5363,W,0.14,186.16,280224,,,A*72;;1.00;1.00;1.00;27.54;36.57 -->28/02/24 17:19:06*;
MES=0.96; ; ; ; V/m; 3.61V; $GNRMC,171906.000,A,2027.3137,S,05436.5363,W,0.14,186.16,280224,,,A*72;;-2.00;2.00;-1.00;27.54;36.57 -->28/02/24 17:19:06*;
MES=0.96; ; ; ; V/m; 3.61V; $GNRMC,171907.000,A,2027.3134,S,05436.5363,W,0.16,186.16,280224,,,A*72;;1.00;-1.00;1.00;27.54;36.57 -->28/02/24 17:19:06*;
MES=1.05; ; ; ; V/m; 3.61V; $GNRMC,171907.000,A,2027.3134,S,05436.5363,W,0.16,186.16,280224,,,A*72;;-1.00;-1.00;-2.00;27.54;36.57 -->28/02/24 17:19:06*;
MES=1.05; ; ; ; V/m; 3.61V; $GNRMC,171907.000,A,2027.3134,S,05436.5363,W,0.16,186.16,280224,,,A*72;;0.00;2.00;1.00;27.54;36.57 -->28/02/24 17:19:07*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171908.000,A,2027.3133,S,05436.5363,W,0.08,186.16,280224,,,A*75;;1.00;-2.00;-1.00;27.54;36.57 -->28/02/24 17:19:07*;
MES=1.22; ; ; ; V/m; 3.61V; $GNRMC,171908.000,A,2027.3133,S,05436.5363,W,0.08,186.16,280224,,,A*75;;2.00;1.00;0.00;27.54;36.57 -->28/02/24 17:19:07*;
MES=1.22; ; ; ; V/m; 3.61V; $GNRMC,171908.000,A,2027.3133,S,05436.5363,W,0.08,186.16,280224,,,A*75;;-2.00;-2.00;1.00;27.54;36.57 -->28/02/24 17:19:08*;
MES=1.15; ; ; ; V/m; 3.61V; $GNRMC,171908.000,A,2027.3133,S,05436.5363,W,0.08,186.16,280224,,,A*75;;0.00;-2.00;-1.00;27.54;36.57 -->28/02/24 17:19:08*;
MES=1.13; ; ; ; V/m; 3.61V; $GNRMC,171909.000,A,2027.3134,S,05436.5363,W,0.01,186.16,280224,,,A*7A;;-1.00;1.00;4.00;27.54;36.57 -->28/02/24 17:19:08*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171909.000,A,2027.3134,S,05436.5363,W,0.01,186.16,280224,,,A*7A;;0.00;1.00;-3.00;27.54;36.57 -->28/02/24 17:19:08*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171909.000,A,2027.3134,S,05436.5363,W,0.01,186.16,280224,,,A*7A;;1.00;-1.00;-2.00;27.54;36.57 -->28/02/24 17:19:09*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171909.000,A,2027.3134,S,05436.5363,W,0.01,186.16,280224,,,A*7A;;1.00;1.00;0.00;27.54;36.57 -->28/02/24 17:19:09*;
MES=1.08; ; ; ; V/m; 3.61V; $GNRMC,171910.000,A,2027.3134,S,05436.5363,W,0.07,186.16,280224,,,A*74;;-2.00;2.00;3.00;27.54;36.57 -->28/02/24 17:19:09*;
MES=1.15; ; ; ; V/m; 3.61V; $GNRMC,171910.000,A,2027.3134,S,05436.5363,W,0.07,186.16,280224,,,A*74;;-1.00;0.00;0.00;27.54;36.57 -->28/02/24 17:19:09*;
MES=1.22; ; ; ; V/m; 3.61V; $GNRMC,171910.000,A,2027.3134,S,05436.5363,W,0.07,186.16,280224,,,A*74;;2.00;0.00;-3.00;27.54;36.57 -->28/02/24 17:19:10*;
MES=1.10; ; ; ; V/m; 3.61V; $GNRMC,171910.000,A,2027.3134,S,05436.5363,W,0.07,186.16,280224,,,A*74;;1.00;-1.00;1.00;27.54;36.57 -->28/02/24 17:19:10*;
MES=1.05; ; ; ; V/m; 3.61V; $GNRMC,171911.000,A,2027.3134,S,05436.5362,W,0.07,186.16,280224,,,A*74;;-1.00;3.00;1.00;27.54;36.57 -->28/02/24 17:19:10*;
MES=1.05; ; ; ; V/m; 3.61V; $GNRMC,171911.000,A,2027.3134,S,05436.5362,W,0.07,186.16,280224,,,A*74;;0.00;-3.00;-1.00;27.54;36.57 -->28/02/24 17:19:10*;
MES=1.09; ; ; ; V/m; 3.61V; $GNRMC,171911.000,A,2027.3134,S,05436.5362,W,0.07,186.16,280224,,,A*74;;0.00;-1.00;4.00;27.54;36.57 -->28/02/24 17:19:11*;
