Date:;Time;Value;GPGGA;gps_time;lat;N/S;lon;E/O;fix;number_satellites;diution;height;M;geoid_height;M;;*CRC;GPGSA;A;3D_fix;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PRN;PDOP;HDOP;VDOP*CRC
07/03/2024;08:55:01;0.76;$GPGGA;115236.0;1.352.356.781;S;4.004.583.644;W;1;11;0.8;203.5;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:02;0.75;$GPGGA;115237.0;1.352.356.288;S;4.004.581.584;W;1;11;0.8;203.6;M;-10.0;M;;*71;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:03;0.77;$GPGGA;115238.0;1.352.355.786;S;4.004.579.616;W;1;11;0.8;203.6;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:04;0.73;$GPGGA;115239.0;1.352.355.308;S;4.004.577.837;W;1;11;0.8;203.5;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:05;0.78;$GPGGA;115240.0;1.352.354.869;S;4.004.576.449;W;1;11;0.8;203.0;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:06;0.79;$GPGGA;115241.0;1.352.354.422;S;4.004.575.214;W;1;11;0.8;203.0;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:07;0.76;$GPGGA;115242.0;1.352.354.072;S;4.004.574.278;W;1;11;0.8;203.3;M;-10.0;M;;*7D;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:08;0.77;$GPGGA;115243.0;1.352.353.653;S;4.004.573.391;W;1;11;0.8;203.3;M;-10.0;M;;*7F;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:09;0.77;$GPGGA;115244.0;1.352.353.322;S;4.004.572.399;W;1;11;0.8;202.8;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:10;0.78;$GPGGA;115245.0;1.352.353.021;S;4.004.571.440;W;1;11;0.8;202.7;M;-10.0;M;;*76;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:11;0.74;$GPGGA;115246.0;1.352.352.809;S;4.004.570.275;W;1;11;0.8;202.3;M;-10.0;M;;*73;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:12;0.73;$GPGGA;115247.0;1.352.352.623;S;4.004.568.895;W;1;11;0.8;202.2;M;-10.0;M;;*78;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:13;0.75;$GPGGA;115248.0;1.352.352.415;S;4.004.567.337;W;1;11;0.8;202.4;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:14;0.71;$GPGGA;115249.0;1.352.352.162;S;4.004.565.640;W;1;11;0.8;201.9;M;-10.0;M;;*77;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:15;0.75;$GPGGA;115250.0;1.352.352.004;S;4.004.563.945;W;1;11;0.8;201.5;M;-10.0;M;;*7E;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.5;0.8;1.3*39
07/03/2024;08:55:16;0.77;$GPGGA;115251.0;1.352.351.765;S;4.004.562.146;W;1;11;0.8;201.1;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:17;0.74;$GPGGA;115252.0;1.352.351.444;S;4.004.560.320;W;1;11;0.8;200.3;M;-10.0;M;;*72;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:18;0.75;$GPGGA;115253.0;1.352.351.144;S;4.004.558.570;W;1;11;0.8;200.4;M;-10.0;M;;*79;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:19;0.78;$GPGGA;115254.0;1.352.350.818;S;4.004.556.852;W;1;11;0.8;200.2;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:20;0.83;$GPGGA;115255.0;1.352.350.437;S;4.004.555.071;W;1;11;0.8;200.3;M;-10.0;M;;*71;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:21;0.75;$GPGGA;115256.0;1.352.350.168;S;4.004.553.320;W;1;11;0.8;200.3;M;-10.0;M;;*7C;$GPGSA;A;3;8;10;16;18;23;26;27;28;29;31;32;;1.6;0.8;1.4*3D
07/03/2024;08:55:22;0.72;$GPGGA;115257.0;1.352.349.897;S;4.004.551.524;W;1;10;0.8;200.2;M;-10.0;M;;*7C;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.5;0.8;1.3*32
07/03/2024;08:55:23;0.72;$GPGGA;115258.0;1.352.349.555;S;4.004.549.900;W;1;10;0.8;199.8;M;-10.0;M;;*7A;$GPGSA;A;3;8;10;16;18;23;26;27;28;31;32;;;1.6;0.8;1.4*36
