ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação
88;GR01;SP;Guarulhos;Limitado Especializado;50004354605;1005559039;-23,459785;-46,509148
89;GR01;SP;Guarulhos;Serviço de Radiotáxi Privado;50415654149;678546;-23,450834;-46,475277
90;GR01;SP;Guarulhos;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50415303354;1004831649;-23,471027;-46,52883
91;GR01;SP;Guarulhos;Limitado Privado - Prestação a terceiros;50004466071;693183993;-23,475471;-46,53489
92;GR01;SP;Guarulhos;Limitado Privado - Prestação a terceiros;50414411897;1003545090;-23,451736;-46,4085
93;GR01;SP;Guarulhos;Serviço de Radiotáxi Privado;50415654149;698754476;-23,473055;-46,544445
94;GR01;SP;Guarulhos;Serviço Limitado Privado submodalidade Radiodeterminação;50444239804;1000823544;-23,395277;-46,393055
95;GR01;SP;Guarulhos;Serviço Limitado Privado submodalidade Radiodeterminação;50444239804;1000823587;-23,445;-46,55472
96;GR01;SP;Guarulhos;Limitado Privado;50417179405;665758235;-23,443611;-46,433887
97;GR01;SP;Guarulhos;Limitado Privado;2020248816;1002810245;-23,445633;-46,539665
98;GR01;SP;Guarulhos;Limitado Privado;50444101799;1015182876;-23,402227;-46,4483
99;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409280844;1002397666;-23,982222;-48,875557
100;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409181358;1001958427;-23,979742;-48,88585
101;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50410743992;1001841252;-23,980278;-48,88639
102;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50413364585;1002793510;-23,979723;-48,885834
103;GR01;SP;Itapeva;Radiodifusão Comunitária;50408126710;699148251;-23,713888;-48,85278
104;GR01;SP;Itapeva;Radiodifusão Sonora em Freqüência Modulada;2008022757;7805195;-23,978611;-48,88111
105;GR01;SP;Itapeva;Radiodifusão Sonora em Freqüência Modulada;50407978690;699276047;-23,978611;-48,884724
106;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50010613854;1011720822;-23,9788;-48,8764
107;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50010613854;683607162;-23,9788;-48,8764
108;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50409146447;5144809;-23,9788;-48,8764
109;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50409105090;667990003;-23,9788;-48,8764
110;GR01;SP;Itapeva;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50414369599;1004480013;-23,978611;-48,884445
111;GR01;SP;Itapeva;Limitado Privado;50417179405;1014502214;-24,1125;-49,1111
112;GR01;SP;Itapeva;Limitado Privado;50415417600;1005833491;-23,965275;-48,890327
113;GR01;SP;Itapeva;Limitado Privado;50417568304;1008327287;-23,985632;-48,877594
114;GR01;SP;Itapeva;Limitado Privado;50410802328;699587980;-23,986635;-48,883083
115;GR01;SP;Itapeva;Limitado Privado;50403450381;1012776058;-23,983334;-48,880833
116;GR01;SP;Itapeva;Limitado Privado;50410802328;699588391;-23,997992;-48,8929
117;GR01;SP;Jundiaí;Radiodifusão Sonora em Freqüência Modulada;2030457183;9156380;-23,263334;-46,968334
118;GR01;SP;Jundiaí;Radiodifusão Sonora em Freqüência Modulada;2008032477;7806124;-23,268055;-46,96611
119;GR01;SP;Jundiaí;Radiodifusão Sonora em Onda Média;2008032396;7806116;-23,169722;-46,931667
120;GR01;SP;Jundiaí;Radiodifusão Sonora em Onda Média;2008018482;7804784;-23,148056;-46,838055
121;GR01;SP;Jundiaí;Radiodifusão Comunitária;50404240356;699263891;-23,194445;-46,86361
122;GR01;SP;Jundiaí;Radiodifusão Comunitária;50415985170;1008215462;-23,1875;-46,885277
123;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50010613854;659051028;-23,1852;-46,8974
124;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50010613854;688134572;-23,1852;-46,8974
125;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50409146447;468096;-23,1852;-46,8974
126;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50409146447;1009578526;-23,1852;-46,8974
127;GR01;SP;Jundiaí;SERVIÇO MOVEL PESSOAL;50409105090;403013658;-23,1852;-46,8974
128;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031634275;3552870;-23,195833;-46,892166
129;GR01;SP;Jundiaí;SERVIÇO SLMP PRESTADO A DETERMINADOS GRUPOS DE USUARIOS;50439501539;1014362749;-23,143667;-46,937374
130;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031944894;1001740383;-23,18325;-46,89114
131;GR01;SP;Jundiaí;Limitado Privado - Prestação a terceiros;50412251680;1007048457;-23,187687;-46,87575
132;GR01;SP;Jundiaí;ESPECIAL DE REPETICAO DE TELEVISAO;50004031261;665676506;-23,186388;-46,884167
133;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022648749;396746136;-23,186111;-46,88639
134;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022643780;372951;-23,185833;-46,885834
135;GR01;SP;Jundiaí;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022629361;4999010;-23,185;-46,959167
136;GR01;SP;Jundiaí;Limitado Privado;50417179405;1014455062;-23,1982;-46,876
137;GR01;SP;Jundiaí;Limitado Privado;50417179405;2630311;-23,19861;-46,87639
138;GR01;SP;Jundiaí;Limitado Privado;50417179405;613571347;-23,223612;-46,878613
139;GR01;SP;Jundiaí;Limitado Privado;50437512908;1012606187;-23,196194;-46,89447
140;GR01;SP;Jundiaí;Limitado Privado;2020248816;1641042;-23,191668;-46,888058
141;GR01;SP;Lins;Radiodifusão Comunitária;50403597056;689322798;-21,678612;-49,7425
142;GR01;SP;Lins;Radiodifusão Sonora em Freqüência Modulada;2008004341;7803389;-21,6775;-49,765556
143;GR01;SP;Lins;Limitado Privado - Prestação a terceiros;50004466071;689899432;-21,67625;-49,766056
144;GR01;SP;Lins;Limitado Privado;50417179405;535653530;-21,679167;-49,7425
145;GR01;SP;Lins;Limitado Privado;2020378353;1000549183;-21,666805;-49,72889
146;GR01;SP;Lins;Limitado Privado;50417179405;696715724;-21,636944;-49,7325
147;GR01;SP;Lins;Limitado Privado;50417179405;535733143;-21,517778;-49,641388
148;GR01;SP;Lorena;Radiodifusão Sonora em Freqüência Modulada;2022888545;9149023;-22,744722;-45,111668
149;GR01;SP;Lorena;Radiodifusão Sonora em Freqüência Modulada;50403922739;696203367;-22,739159;-45,11165
150;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50010613854;683175483;-22,7334;-45,1197
151;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50409146447;535508;-22,7334;-45,1197
152;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50409105090;1007676148;-22,7334;-45,1197
153;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50010613854;683389041;-22,734583;-45,121834
154;GR01;SP;Lorena;Limitado Privado;2030098353;683669060;-22,734444;-45,11361
155;GR01;SP;Lorena;Limitado Privado;50417179405;535739362;-22,733889;-45,118057
156;GR01;SP;Lorena;Limitado Privado;50418766738;1015093474;-22,71637;-45,11294
157;GR01;SP;Lorena;Limitado Privado;50417179405;1015168415;-22,7325;-45,0947
158;GR01;SP;Lorena;Limitado Privado;50403450381;1012538602;-22,740667;-45,136944
159;GR01;SP;Lorena;Limitado Privado;2030098353;683669087;-22,743334;-45,11778
160;GR01;SP;Lorena;Limitado Privado;50418766738;1014515090;-22,73454;-45,122
161;GR01;SP;Pindamonhangaba;Radiodifusão Comunitária;50405986297;692226095;-22,922777;-45,3675
162;GR01;SP;Pindamonhangaba;Radiodifusão Sonora em Freqüência Modulada;2008029921;7805900;-22,766777;-45,52253
163;GR01;SP;Pindamonhangaba;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409284408;698715837;-22,766588;-45,52262
164;GR01;SP;Pindamonhangaba;Radiodifusão Comunitária;50401916502;687368790;-22,930555;-45,456112
165;GR01;SP;Pindamonhangaba;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409269603;1001545246;-22,953333;-45,46
166;GR01;SP;Pindamonhangaba;Radiodifusão Comunitária;50012299529;679343881;-22,916666;-45,359722
167;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50010613854;683116339;-22,9246;-45,4613
168;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50010613854;700044000;-22,9246;-45,4613
169;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50409146447;399678611;-22,9246;-45,4613
170;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50409105090;403139333;-22,9246;-45,4613
171;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50409146447;1009667944;-22,9246;-45,4613
172;GR01;SP;Pindamonhangaba;Especial de Supervisão e Controle/Terceiros;50416687601;1007184741;-22,945555;-45,413612
