ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação;Data da Medição;Valor Medido (V/m);Latitude do maior valor Medido;Longitude do maior valor Medido;N° de Medidas acima de 14 V/M;Justificativa (apenas para estações sem medições);Observações;Distância (km)
80;GR01;SP;Guarulhos;Radiodifusão Sonora em Onda Média;2008007367;7803672;-23,437695;-46,543945;;;;;;;Sem medição, sem justificativa;
81;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50010613854;641204892;-23,4538;-46,5333;;;;;;;Sem medição, sem justificativa;
82;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50010613854;641205066;-23,4538;-46,5333;;;;;;;Sem medição, sem justificativa;
83;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50409146447;137987;-23,4538;-46,5333;;;;;;;Sem medição, sem justificativa;
84;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50409146447;379970783;-23,4538;-46,5333;;;;;;;Sem medição, sem justificativa;
85;GR01;SP;Guarulhos;SERVIÇO MOVEL PESSOAL;50409105090;1246178;-23,4538;-46,5333;;;;;;;Sem medição, sem justificativa;
86;GR01;SP;Guarulhos;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50012431494;682623970;-23,459028;-46,4965;;;;;;;Sem medição, sem justificativa;
87;GR01;SP;Guarulhos;SERVIÇO ESPECIAL DE RADIOCHAMADA;50404029612;5367611;-23,46889;-46,517776;;;;;;;Sem medição, sem justificativa;
88;GR01;SP;Guarulhos;Limitado Especializado;50004354605;1005559039;-23,459785;-46,509148;;;;;;;Sem medição, sem justificativa;
89;GR01;SP;Guarulhos;Serviço de Radiotáxi Privado;50415654149;678546;-23,450834;-46,475277;;;;;;;Sem medição, sem justificativa;
90;GR01;SP;Guarulhos;SERVIÇO LIMITADO PRIVADO DE RADIOCHAMADA-SLPR;50415303354;1004831649;-23,471027;-46,52883;;;;;;;Sem medição, sem justificativa;
91;GR01;SP;Guarulhos;Limitado Privado - Prestação a terceiros;50004466071;693183993;-23,475471;-46,53489;;;;;;;Sem medição, sem justificativa;
92;GR01;SP;Guarulhos;Limitado Privado - Prestação a terceiros;50414411897;1003545090;-23,451736;-46,4085;;;;;;;Sem medição, sem justificativa;
93;GR01;SP;Guarulhos;Serviço de Radiotáxi Privado;50415654149;698754476;-23,473055;-46,544445;;;;;;;Sem medição, sem justificativa;
94;GR01;SP;Guarulhos;Serviço Limitado Privado submodalidade Radiodeterminação;50444239804;1000823544;-23,395277;-46,393055;;;;;;;Sem medição, sem justificativa;
95;GR01;SP;Guarulhos;Serviço Limitado Privado submodalidade Radiodeterminação;50444239804;1000823587;-23,445;-46,55472;;;;;;;Sem medição, sem justificativa;
96;GR01;SP;Guarulhos;Limitado Privado;50417179405;665758235;-23,443611;-46,433887;;;;;;;Sem medição, sem justificativa;
97;GR01;SP;Guarulhos;Limitado Privado;2020248816;1002810245;-23,445633;-46,539665;;;;;;;Sem medição, sem justificativa;
98;GR01;SP;Guarulhos;Limitado Privado;50444101799;1015182876;-23,402227;-46,4483;;;;;;;Sem medição, sem justificativa;
99;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409280844;1002397666;-23,982222;-48,875557;;;;;;;Sem medição, sem justificativa;
100;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409181358;1001958427;-23,979742;-48,88585;;;;;;;Sem medição, sem justificativa;
101;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50410743992;1001841252;-23,980278;-48,88639;;;;;;;Sem medição, sem justificativa;
102;GR01;SP;Itapeva;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50413364585;1002793510;-23,979723;-48,885834;;;;;;;Sem medição, sem justificativa;
103;GR01;SP;Itapeva;Radiodifusão Comunitária;50408126710;699148251;-23,713888;-48,85278;;;;;;;Sem medição, sem justificativa;
104;GR01;SP;Itapeva;Radiodifusão Sonora em Freqüência Modulada;2008022757;7805195;-23,978611;-48,88111;;;;;;;Sem medição, sem justificativa;
105;GR01;SP;Itapeva;Radiodifusão Sonora em Freqüência Modulada;50407978690;699276047;-23,978611;-48,884724;;;;;;;Sem medição, sem justificativa;
106;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50010613854;1011720822;-23,9788;-48,8764;;;;;;;Sem medição, sem justificativa;
107;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50010613854;683607162;-23,9788;-48,8764;;;;;;;Sem medição, sem justificativa;
108;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50409146447;5144809;-23,9788;-48,8764;;;;;;;Sem medição, sem justificativa;
109;GR01;SP;Itapeva;SERVIÇO MOVEL PESSOAL;50409105090;667990003;-23,9788;-48,8764;;;;;;;Sem medição, sem justificativa;
110;GR01;SP;Itapeva;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50414369599;1004480013;-23,978611;-48,884445;;;;;;;Sem medição, sem justificativa;
111;GR01;SP;Itapeva;Limitado Privado;50417179405;1014502214;-24,1125;-49,1111;;;;;;;Sem medição, sem justificativa;
112;GR01;SP;Itapeva;Limitado Privado;50415417600;1005833491;-23,965275;-48,890327;;;;;;;Sem medição, sem justificativa;
113;GR01;SP;Itapeva;Limitado Privado;50417568304;1008327287;-23,985632;-48,877594;;;;;;;Sem medição, sem justificativa;
114;GR01;SP;Itapeva;Limitado Privado;50410802328;699587980;-23,986635;-48,883083;;;;;;;Sem medição, sem justificativa;
115;GR01;SP;Itapeva;Limitado Privado;50403450381;1012776058;-23,983334;-48,880833;;;;;;;Sem medição, sem justificativa;
